name,nickname,weight_class,wins,losses,draws,height_cm,reach_cm,stance,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,striking_accuracy,striking_defense,takedown_avg_per_fight,takedown_accuracy,takedown_defense,submission_avg_per_fight
Eric Nolan,Nightime,Middleweight,8,4,0,187.96,187.96,Orthodox,3.14,5.13,39,41,0.0,0,71,0.0
MarQuel Mederos,,Lightweight,11,1,0,177.8,175.26,Orthodox,4.84,2.99,56,58,0.0,0,83,0.0
Stephen Thompson,Wonderboy,Welterweight,17,9,1,182.88,190.5,Orthodox,4.05,3.0,46,54,0.23,35,63,0.0
Nandor Guelmino,The Hun,Heavyweight,11,5,1,190.5,,,3.62,3.16,56,33,0.0,0,42,0.0
Mac Danzig,,Lightweight,21,12,1,172.72,177.8,Orthodox,3.39,3.44,48,57,1.2,37,46,0.6
Bobby Southworth,,Light Heavyweight,10,6,0,187.96,,Orthodox,0.99,1.38,39,65,3.98,78,64,1.3
Michael Morales,,Welterweight,18,0,0,182.88,200.66,Orthodox,5.62,3.31,49,53,1.09,41,89,0.0
Myles Jury,Fury,Featherweight,17,4,0,177.8,185.42,Orthodox,2.94,2.16,42,66,2.16,55,50,0.3
Alex Torres,Rolo,Featherweight,5,4,0,177.8,,Orthodox,2.47,2.73,37,69,2.0,22,50,0.0
Josh Grispi,The Fluke,Featherweight,14,5,0,180.34,187.96,Orthodox,1.44,3.71,41,50,1.97,36,16,2.2
Mike Lullo,,Featherweight,8,3,0,172.72,,Orthodox,2.48,4.84,36,40,1.18,11,0,0.6
