fighter_a_name,fighter_b_name,winner_name,fight_date,method,round,event_name
Matt Sayles,Sheymon Moraes,Sheymon Moraes,2018-08-04,Decision - Unanimous,3,UFC 227: Dillashaw vs. Garbrandt 2
Marlon Vera,Wulijiburen,Marlon Vera,2018-08-04,KO/TKO,2,UFC 227: Dillashaw vs. Garbrandt 2
Danielle Taylor,Zhang Weili,Zhang Weili,2018-08-04,Decision - Unanimous,3,UFC 227: Dillashaw vs. Garbrandt 2
Cortney Casey,Angela Hill,Cortney Casey,2018-08-25,Decision - Split,3,UFC Fight Night: Gaethje vs. Vick
Michael Johnson,Andre Fili,Michael Johnson,2018-08-25,Decision - Split,3,UFC Fight Night: Gaethje vs. Vick
Justin Gaethje,James Vick,Justin Gaethje,2018-08-25,KO/TKO,1,UFC Fight Night: Gaethje vs. Vick
Eryk Anders,Tim Williams,Eryk Anders,2018-08-25,KO/TKO,3,UFC Fight Night: Gaethje vs. Vick
John Moraga,Deiveson Figueiredo,Deiveson Figueiredo,2018-08-25,KO/TKO,2,UFC Fight Night: Gaethje vs. Vick
Jake Ellenberger,Bryan Barberena,Bryan Barberena,2018-08-25,KO/TKO,1,UFC Fight Night: Gaethje vs. Vick
James Krause,Warlley Alves,James Krause,2018-08-25,KO/TKO,2,UFC Fight Night: Gaethje vs. Vick
Cory Sandhagen,Iuri Alcantara,Cory Sandhagen,2018-08-25,KO/TKO,2,UFC Fight Night: Gaethje vs. Vick
Andrew Sanchez,Markus Perez,Andrew Sanchez,2018-08-25,Decision - Unanimous,3,UFC Fight Night: Gaethje vs. Vick
Mickey Gall,George Sullivan,Mickey Gall,2018-08-25,Submission,1,UFC Fight Night: Gaethje vs. Vick
Joanne Wood,Kalindra Faria,Joanne Wood,2018-08-25,Submission,1,UFC Fight Night: Gaethje vs. Vick
Rani Yahya,Luke Sanders,Rani Yahya,2018-08-25,Submission,1,UFC Fight Night: Gaethje vs. Vick
Eddie Alvarez,Dustin Poirier,Dustin Poirier,2018-07-28,KO/TKO,2,UFC Fight Night: Alvarez vs. Poirier 2
Drew Dober,Jon Tuck,Drew Dober,2018-08-25,Decision - Unanimous,3,UFC Fight Night: Gaethje vs. Vick
Jose Aldo,Jeremy Stephens,Jose Aldo,2018-07-28,KO/TKO,1,UFC Fight Night: Alvarez vs. Poirier 2
Joanna Jedrzejczyk,Tecia Pennington,Joanna Jedrzejczyk,2018-07-28,Decision - Unanimous,3,UFC Fight Night: Alvarez vs. Poirier 2
